movement:transport-person:person	Movement.TransportPerson_Person
personnel:elect:entity	Personnel.Elect_Elector
personnel:elect:person	Personnel.Elect_Elect
personnel:elect:place	Personnel.Elect_Place
personnel:elect:time	Personnel.Elect_Time
personnel:end-position:entity	Personnel.EndPosition_Organization
personnel:end-position:person	Personnel.EndPosition_Person
personnel:end-position:place	Personnel.EndPosition_Place
personnel:end-position:time	Personnel.EndPosition_Time
personnel:nominate:agent	Personnel.Nominate_Nominator
personnel:nominate:person	Personnel.Nominate_Nominee
personnel:nominate:place	Personnel.Nominate_Place
personnel:nominate:time	Personnel.Nominate_Time
personnel:start-position:entity	Personnel.StartPosition_Organization
personnel:start-position:person	Personnel.StartPosition_Person
personnel:start-position:place	Personnel.StartPosition_Place
personnel:start-position:time	Personnel.StartPosition_Time
transaction:transfer-money:giver	Transaction.TransferMoney_Giver
transaction:transfer-money:recipient	Transaction.TransferMoney_Recipient
transaction:transfer-money:place	Transaction.TransferMoney_Place
transaction:transfer-money:beneficiary	Transaction.TransferMoney_Beneficiary
transaction:transfer-money:money	Transaction.TransferMoney_Money
transaction:transfer-money:time	Transaction.TransferMoney_Time
transaction:transfer-ownership:artifact	Transaction.TransferOwnership_Thing
transaction:transfer-ownership:buyer	Transaction.TransferOwnership_Recipient
transaction:transfer-ownership:place	Transaction.TransferOwnership_Place
transaction:transfer-ownership:seller	Transaction.TransferOwnership_Giver
transaction:transfer-ownership:beneficiary	Transaction.TransferOwnership_Beneficiary
transaction:transfer-ownership:time	Transaction.TransferOwnership_Time
